"Close/Last","Open"
93.43,94.18
93.67,93.6
92.33,93.96
91.66,92.58
92.72,92.3
91.8,92.83
92.59,91.51
94.17,92.65
93.96,94.29
94.37,94.17
94.37,94.37
94.99,93.9
96.73,95.2
97.32,96.69
96.64,97.37
95.72,96.9
97.41,95.66
97.36,97.2
98.23,97.42
97.49,97.97
96.43,97.4
97.19,96.53
97.38,97.67
97.84,97.25
99.88,97.97
100.06,100.05
99.94,100.39
100.37,100.46
100.35,100.27
100.3,100.34
100.3,100.3
102.43,100.88
103.31,103.14
102.92,103.41
102.2,102.87
102.82,102.29
101.83,102.8
102.59,102.04
102.4,102.57
102.59,102.15
104.92,104.88
103.33,104.89
101.45,103.35
101.56,101.04
102.58,101.97
101.12,102.75
100.03,100.94
97.99,99.48
98.2,98.1
98.89,98.25
98.08,99.39
99.7,97.97
100.37,99.53
99.43,100.39
99.46,98.59
99.6,99.36
99.19,99.43
100.26,99.18
101.28,100.3
101.67,101.34
101.58,101.69
99.74,101.53
99.62,99.64
100.29,99.29
101.14,100.38
100.44,100.91
102.56,100.69
103.6,102.35
103.4,103.44
103.74,103.34
104.05,103.56
103.75,103.6
103.76,103.76
104.3,103.84
104.3,104.3
104.37,104.54
102.13,104.36
101.44,101.86
101.94,101.54
100.6,101.93
100.84,100.49
101.28,100.89
99.74,100.76
99.42,99.72
